symbol,name
BTC,Bitcoin
LTC,Litecoin
NMC,Namecoin
TRC,Terracoin
PPC,Peercoin
NVC,Novacoin
FTC,Feathercoin
FRC,Freicoin
IXC,Ixcoin
WDC,WorldCoin
DGC,Digitalcoin
GLC,Goldcoin
PXC,Phoenixcoin
XPM,Primecoin
ANC,Anoncoin
CSC,CasinoCoin
XRP,XRP
QRK,Quark
ZET,Zetacoin
TAG,TagCoin
PIN,Public Index Network
NXT,Nxt
UNO,Unobtanium
DTC,Datacoin
DEM,Deutsche eMark
DOGE,Dogecoin
DMD,Diamond
HBN,HoboNickels
ORB,Orbitcoin
OMNI,Omni
TIPS,FedoraCoin
DIME,Dimecoin
42,42-coin
VTC,Vertcoin
DGB,DigiByte
RDD,ReddCoin
KAT,KatKoyn
POT,PotCoin
MAX,Maxcoin
DASH,Dash
XCP,Counterparty
MINT,MintCoin
DOPE,DopeCoin
AUR,Auroracoin
MARS,Marscoin
MIM,Magic Internet Money
UFO,Uniform Fiscal Object
BLK,BlackCoin
XMY,Myriad
NOTE,DNotes
EMC2,Einsteinium
MONA,MonaCoin
RBY,Rubycoin
BELA,Bela
MUNT,MUNT
GRS,Groestlcoin
XPD,PetroDollar
PLNC,PLNcoin
XWC,WhiteCoin
BITS,Bitstar
QBC,Quebecoin
BLU,BlueCoin
MAID,MaidSafeCoin
XBC,Bitcoin Plus
NYC,NewYorkCoin
PINK,Pinkcoin
DRM,Dreamcoin
XMR,Monero
CURE,Curecoin
MOTO,Motocoin
CLOAK,CloakCoin
BSD,BitSend
C2,Coin2.1
BCN,Bytecoin
NAV,Navcoin
START,Startcoin
XDN,DigitalNote
THC,HempCoin
XST,Stealth
CLAM,Clams
BTS,BitShares
VIA,Viacoin
XCN,Cryptonite
CARBON,Carboncoin
CANN,CannabisCoin
XLM,Stellar
SYS,Syscoin
DONU,Donu
EMC,Emercoin
RBBT,RabbitCoin
GAME,GameCredits
N8V,NativeCoin
UBQ,Ubiq
OPAL,Opal
ACOIN,Acoin
BITCNY,bitCNY
TROLL,Trollcoin
BSTY,GlobalBoost-Y
PXI,Prime-XI
BITS,Bitswift
XVG,Verge
SPR,SpreadCoin
RBT,Rimbit
BLOCK,Blocknet
CRW,Crown
GCN,GCN Coin
XQN,Quotient
OK,Okcash
XPY,PayCoin
COVAL,Circuits of Value
NXS,Nexus
SMLY,SmileyCoin
KOBO,Kobocoin
BITB,Bean Cash
USDT,Tether
WBB,Wild Beast Block
GRC,Gridcoin
XCO,X-Coin
LDOGE,LiteDoge
SONG,SongCoin
LOG,Woodcoin
XEM,NEM
NTRN,Neutron
XAUR,Xaurum
CF,Californium
AIB,Advanced Internet Blocks
MEDIC,MedicCoin
BUB,Bubble
UNIT,Universal Currency
PKB,ParkByte
ARB,ARbit
BTA,Bata
ADC,AudioCoin
SNRG,Synergy
XRA,Ratecoin
CREVA,CrevaCoin
BSC,BowsCoin
HNC,HNC COIN
MANNA,Manna
AXIOM,Axiom
AEON,Aeon
ETH,Ethereum
TX,TransferCoin
GCC,GuccioneCoin
AMS,AmsterdamCoin
AGRS,Agoras: Currency of Tau
EUC,Eurocoin
SC,Siacoin
GCR,Global Currency Reserve
VEC2,VectorAI
BOLI,Bolivarcoin
PAK,Pakcoin
EXP,Expanse
SIB,SIBCoin
SWING,Swing
SANDG,Save and Gain
REP,Augur
SHND,StrongHands
PAC,PAC Protocol
DFT,DraftCoin
CLUB,ClubCoin
ADZ,Adzcoin
AV,AvatarCoin
VAL,Validity
LTCR,Litecred
YOC,Yocoin
SLS,SaluS
FRN,Francs
EVIL,Evil Coin
DCR,Decred
PIVX,PIVX
SFT,Safex Token
RBIES,Rubies
FREED,FreedomCoin
MEME,Memetic / PepeCoin
IMS,Independent Money System
NEVA,NevaCoin
PEX,PosEx
CAB,Cabbage
MOJO,MojoCoin
LSK,Lisk
EDRC,EDRCoin
POST,PostCoin
BERN,BERNcash
DGD,DigixDAO
STEEM,Steem
ESP,Espers
FUZZ,FuzzBalls
XHI,HiCoin
ARCO,AquariusCoin
XBTC21,Bitcoin 21
ZUR,Zurcoin
2GIVE,2GIVE
XPTX,PlatinumBAR
LANA,LanaCoin
PONZI,PonziCoin
CTL,Citadel
WAVES,Waves
PWR,PWR Coin
ION,ION
HVCO,High Voltage
GB,GoldBlocks
CMT,Comet
CHESS,ChessCoin
LBC,LBRY Credits
PUT,PUTinCoin
CJ,Cryptojacks
SBD,Steem Dollars
ARDR,Ardor
ETC,Ethereum Classic
KRB,Karbo
STRAX,Stratis
ACES,Aces
TAJ,TajCoin
VLT,Veltor
NEO,Neo
NLC,NoLimitCoin
ZYD,Zayedcoin
PLU,Pluton
DLC,Dollarcoin
MST,MustangCoin
FIRO,Firo
ZEC,Zcash
ASAFE,AllSafe
ZCL,ZClassic
GLM,Golem
HUSH,Hush
KURT,Kurrent
PASC,Pascal
ENT,Eternity
GBYTE,Obyte
POSW,PoSW Coin
WINGS,Wings
JUP,Jupiter
ALIAS,Alias
VIDZ,PureVidz
ICOB,ICOBID
IBANK,iBank
MKR,Maker
KMD,Komodo
FRST,FirstCoin
ICON,Iconic
CNT,Centurion
MLN,Enzyme
TIME,Chrono.tech
ARGUS,Argus
SWT,Swarm City
XNO,Nano
ZER,Zero
NETKO,Netko
ARK,Ark
TKS,Tokes
EDG,Edgeless
XAS,Asch
SKY,Skycoin
BLAZR,BlazerCoin
ATMOS,Atmos
ZENI,Zennies
CXT,Coinonat
CONX,Concoin
XBY,XTRABYTES
RLC,iExec RLC
TRST,WeTrust
SCS,SpeedCash
BTX,BitCore
VOLT,Bitvolt
LUN,Lunyr
GNO,Gnosis
TKN,Monolith
HMQ,Humaniq
CNNC,Cannation
INSN,InsaneCoin
ANT,Aragon
PZM,PRIZM
QTUM,Qtum
MAY,Theresa May Coin
SUMO,Sumokoin
BAT,Basic Attention Token
ZEN,Horizen
AE,Æternity
SCOOT,ScooterCoin
ETP,Metaverse ETP
ADK,Aidos Kuneen
PTOY,Patientory
VERI,Veritaseum
QRL,Quantum Resistant Ledger
MIOTA,IOTA
MYST,Mysterium
MORE,More Coin
BNT,Bancor
GLT,GlobalToken
NMR,Numeraire
UNIFY,Unify
DCY,Dinastycoin
ONX,Onix
GXC,GXChain
FUN,FUNToken
PAY,TenX
SNT,Status
ERG,Ergo
EOS,EOS
ADX,Ambire AdEx
D,Denarius
STORJ,Storj
SOCC,SocialCoin
WGR,Wagerr
PLBT,Polybius
GAS,Gas
SNC,SunContract
JET,Jetcoin
MTL,Metal DAO
PPT,Populous
RUP,Rupee
SAN,Santiment Network Token
OMG,OMG Network
MRX,Metrix Coin
CVC,Civic
VGX,Voyager Token
COAL,BitCoal
PART,Particl
SMART,SmartCash
SKIN,SkinCoin
BCH,Bitcoin Cash
PLR,Pillar
OCT,OracleChain
BNB,BNB
IXT,IXT
GSR,GeyserCoin
CRM,Cream
OAX,OAX
DNT,district0x
STX,Stox
BTM,Bytom
DCN,Dentacoin
SHDW,Shadow Token
ONION,DeepOnion
ADS,Adshares
DENT,Dent
IFT,InvestFeed
ZRX,0x Protocol
MYB,MyBit
HC,HyperCash
NAS,Nebulas
BBP,BiblePay
ACT,Achain
WTC,Waltonchain
PST,Primas
LRC,Loopring
LTCU,LiteCoin Ultra
POE,Po.et
MTH,Monetha
AVT,Aventus
DLT,Agrello
HVN,Hiveterminal Token
MDA,Moeda Loyalty Points
NEBL,Neblio
TRX,TRON
BUZZ,BUZZCoin
MANA,Decentraland
IND,Indorse Token
XPA,XPA
ATB,ATBCoin
PRO,Propy
LINK,Chainlink
KNCL,Kyber Network Crystal Legacy
VIBE,VIBE
SUB,Substratum
RVT,Rivetz
KIN,Kin
SALT,SALT
ORMEUS,Ormeus Coin
COLX,ColossusXT
TZC,TrezarCoin
COB,Cobinhood
BIS,Bismuth
ADA,Cardano
XTZ,Tezos
VIB,Viberate
INXT,Internxt
CNX,Cryptonex
EVX,Everex
BTCZ,BitcoinZ
CND,Cindicator
ENG,Enigma
ZSC,Zeusshield
AST,AirSwap
AION,Aion
DRT,DomRaider
REQ,Request
BLUE,Blue Protocol
AMB,AirDAO
BTG,Bitcoin Gold
KCS,KuCoin Token
EXRN,EXRNchain
LA,LATOKEN
XUC,Exchange Union
NULS,NULS
RCN,Ripio Credit Network
ICX,ICON
JS,JavaScript Token
IETH,iEthereum
LUX,LUXCoin
DOV,Dovu
PHX,Phoenix Global [old]
FUEL,Etherparty
FYP,FlypMe
ENJ,Enjin Coin
IBTC,iBTC
POWR,Powerledger
GRID,Grid+
REV,Revain
ATL,ATLANT
ETN,Electroneum
DATA,Streamr
ELTCOIN,ELTCOIN
DSR,Desire
NIOX,Autonio
